iter	Passed	Remaining
0	331	331472
1	359	179418
2	383	127455
3	401	99981
4	415	82759
5	430	71401
6	456	64762
7	478	59344
8	496	54636
9	510	50579
10	524	47122
11	539	44443
12	553	42017
13	568	40004
14	582	38247
15	595	36622
16	611	35386
17	629	34350
18	642	33166
19	656	32158
20	670	31277
21	684	30421
22	698	29683
23	713	29010
24	730	28488
25	745	27940
26	757	27295
27	770	26756
28	786	26349
29	800	25888
30	813	25435
31	827	25036
32	843	24715
33	855	24301
34	869	23982
35	883	23667
36	898	23388
37	912	23108
38	926	22826
39	939	22543
40	953	22311
41	967	22066
42	980	21828
43	993	21593
44	1006	21366
45	1019	21137
46	1032	20942
47	1048	20795
48	1062	20616
49	1073	20401
50	1086	20222
51	1102	20108
52	1119	19995
53	1132	19848
54	1145	19685
55	1159	19538
56	1172	19400
57	1186	19265
58	1199	19127
59	1211	18973
60	1224	18841
61	1238	18744
62	1254	18652
63	1266	18529
64	1280	18421
65	1292	18291
66	1306	18189
67	1321	18106
68	1334	18001
69	1348	17918
70	1362	17832
71	1374	17720
72	1388	17626
73	1401	17537
74	1415	17455
75	1428	17370
76	1441	17273
77	1457	17222
78	1470	17145
79	1484	17067
80	1497	16989
81	1511	16926
82	1524	16846
83	1537	16768
84	1551	16700
85	1565	16642
86	1581	16594
87	1596	16540
88	1609	16476
89	1621	16394
90	1635	16341
91	1649	16282
92	1666	16248
93	1679	16183
94	1692	16121
95	1703	16044
96	1718	15999
97	1733	15951
98	1746	15895
99	1761	15854
100	1775	15806
101	1790	15765
102	1802	15695
103	1819	15672
104	1841	15698
105	1861	15699
106	1881	15700
107	1899	15688
108	1922	15712
109	1940	15699
110	1956	15671
111	1975	15662
112	1994	15656
113	2011	15634
114	2027	15602
115	2042	15562
116	2056	15521
117	2069	15469
118	2081	15412
119	2098	15392
120	2115	15370
121	2132	15344
122	2150	15332
123	2169	15329
124	2184	15294
125	2197	15240
126	2212	15208
127	2225	15162
128	2239	15119
129	2252	15077
130	2265	15028
131	2277	14973
132	2290	14931
133	2305	14897
134	2319	14863
135	2336	14843
136	2350	14803
137	2361	14751
138	2374	14708
139	2388	14671
140	2401	14632
141	2416	14601
142	2430	14564
143	2441	14512
144	2455	14476
145	2469	14442
146	2482	14408
147	2495	14368
148	2507	14323
149	2523	14298
150	2536	14264
151	2550	14229
152	2565	14202
153	2578	14166
154	2590	14120
155	2605	14095
156	2619	14064
157	2635	14042
158	2647	14004
159	2661	13970
160	2672	13925
161	2685	13893
162	2699	13859
163	2712	13828
164	2729	13811
165	2743	13784
166	2754	13741
167	2769	13716
168	2782	13682
169	2796	13653
170	2811	13627
171	2824	13598
172	2838	13569
173	2851	13534
174	2865	13507
175	2879	13481
176	2892	13451
177	2906	13422
178	2917	13382
179	2931	13353
180	2946	13331
181	2960	13304
182	2973	13274
183	2985	13240
184	2998	13209
185	3011	13177
186	3025	13151
187	3038	13125
188	3054	13105
189	3066	13071
190	3080	13045
191	3095	13027
192	3108	12998
193	3124	12980
194	3139	12959
195	3153	12935
196	3166	12907
197	3177	12871
198	3191	12846
199	3204	12818
200	3217	12788
201	3228	12753
202	3243	12733
203	3257	12711
204	3271	12686
205	3285	12664
206	3299	12638
207	3310	12604
208	3323	12578
209	3337	12555
210	3353	12540
211	3366	12513
212	3380	12488
213	3391	12456
214	3405	12432
215	3419	12410
216	3431	12382
217	3444	12357
218	3456	12328
219	3471	12307
220	3484	12281
221	3497	12255
222	3510	12231
223	3522	12202
224	3537	12186
225	3552	12166
226	3567	12149
227	3580	12124
228	3594	12102
229	3608	12081
230	3621	12056
231	3636	12037
232	3649	12012
233	3663	11991
234	3676	11968
235	3691	11950
236	3704	11924
237	3717	11903
238	3730	11879
239	3743	11854
240	3757	11834
241	3768	11805
242	3784	11788
243	3796	11763
244	3810	11741
245	3823	11718
246	3840	11708
247	3856	11694
248	3874	11686
249	3891	11673
250	3909	11665
251	3925	11652
252	3945	11650
253	3962	11637
254	3979	11625
255	3996	11616
256	4014	11605
257	4030	11591
258	4046	11577
259	4062	11563
260	4075	11540
261	4090	11522
262	4104	11503
263	4119	11483
264	4130	11455
265	4144	11437
266	4161	11423
267	4179	11414
268	4195	11401
269	4210	11384
270	4223	11360
271	4236	11337
272	4247	11311
273	4260	11289
274	4273	11265
275	4286	11243
276	4299	11221
277	4312	11201
278	4325	11179
279	4338	11155
280	4352	11136
281	4365	11114
282	4378	11092
283	4393	11077
284	4410	11064
285	4423	11043
286	4436	11022
287	4448	10996
288	4460	10974
289	4474	10954
290	4487	10934
291	4503	10919
292	4516	10897
293	4530	10879
294	4544	10859
295	4554	10833
296	4568	10812
297	4583	10798
298	4597	10779
299	4614	10766
300	4627	10746
301	4639	10722
302	4652	10701
303	4665	10680
304	4678	10659
305	4692	10642
306	4704	10619
307	4717	10597
308	4732	10582
309	4745	10561
310	4758	10541
311	4770	10518
312	4781	10495
313	4797	10481
314	4812	10464
315	4827	10448
316	4841	10430
317	4855	10412
318	4866	10388
319	4879	10367
320	4892	10348
321	4905	10328
322	4918	10308
323	4929	10285
324	4945	10270
325	4961	10257
326	4979	10247
327	4997	10238
328	5016	10231
329	5034	10220
330	5052	10212
331	5070	10201
332	5085	10186
333	5100	10170
334	5112	10149
335	5125	10129
336	5138	10109
337	5152	10091
338	5165	10072
339	5177	10049
340	5189	10029
341	5205	10015
342	5218	9996
343	5232	9978
344	5246	9960
345	5260	9943
346	5273	9923
347	5286	9904
348	5299	9884
349	5312	9866
350	5324	9844
351	5339	9828
352	5354	9813
353	5368	9797
354	5382	9779
355	5395	9759
356	5406	9737
357	5420	9719
358	5433	9702
359	5447	9684
360	5460	9664
361	5473	9646
362	5486	9628
363	5500	9611
364	5513	9592
365	5527	9575
366	5538	9553
367	5551	9534
368	5565	9516
369	5578	9498
370	5596	9489
371	5612	9475
372	5626	9457
373	5637	9436
374	5650	9417
375	5664	9400
376	5678	9384
377	5692	9366
378	5703	9345
379	5716	9326
380	5732	9313
381	5746	9295
382	5758	9277
383	5771	9259
384	5783	9238
385	5799	9225
386	5812	9206
387	5825	9189
388	5840	9173
389	5858	9162
390	5874	9150
391	5893	9140
392	5909	9128
393	5926	9116
394	5945	9105
395	5961	9093
396	5978	9080
397	5999	9074
398	6016	9062
399	6033	9050
400	6049	9036
401	6065	9022
402	6077	9002
403	6091	8985
404	6108	8973
405	6121	8955
406	6135	8939
407	6149	8922
408	6167	8911
